Date,Open,High,Low,Close,Adj Close,Volume
"Apr 28, 2025",815.00,829.30,811.40,824.80,824.80,"18,637,700"
"Apr 25, 2025",800.00,810.90,799.90,805.00,805.00,"18,844,200"
"Apr 24, 2025",792.00,799.50,785.20,786.00,786.00,"18,844,000"
"Apr 23, 2025",777.00,780.40,763.70,770.20,770.20,"12,430,700"
"Apr 22, 2025",766.20,767.20,752.10,754.00,754.00,"15,644,600"
"Apr 21, 2025",784.00,784.70,774.40,776.20,776.20,"8,456,900"
"Apr 18, 2025",786.00,789.80,778.20,784.00,784.00,"11,913,300"
"Apr 17, 2025",759.60,784.80,758.40,782.10,782.10,"13,721,800"
"Apr 16, 2025",773.10,779.70,749.50,759.50,759.50,"14,887,100"
"Apr 15, 2025",778.00,783.00,766.80,771.40,771.40,"12,063,200"
"Apr 14, 2025",780.00,789.80,769.50,771.50,771.50,"18,134,800"
"Apr 11, 2025",750.00,775.50,737.60,774.40,774.40,"28,189,500"
"Apr 10, 2025",807.00,810.50,779.20,789.60,789.60,"25,269,700"
"Apr 9, 2025",743.60,744.60,710.50,723.80,723.80,"26,532,000"
"Apr 8, 2025",738.30,770.20,737.00,762.60,762.60,"28,135,900"
"Apr 7, 2025",705.60,733.50,695.00,710.80,710.80,"37,877,400"
"Apr 4, 2025",809.50,818.90,773.40,795.60,795.60,"27,273,300"
"Apr 3, 2025",798.90,823.20,798.90,821.80,821.80,"19,946,800"
"Apr 2, 2025",845.00,850.00,815.10,829.90,829.90,"21,406,200"
"Apr 1, 2025",860.00,862.80,842.70,845.00,845.00,"15,429,100"
