Code,Date,Open,High,Low,Close,Adj Close,Volume,movingAverage
AMZN,2024-04-01,180.79,183.0,179.95,180.97,180.97,"29,174,500",180.97
AMZN,2024-04-02,179.07,180.79,178.38,180.69,180.69,"32,611,500",180.82999999999998
AMZN,2024-04-03,179.9,182.87,179.8,182.41,182.41,"31,046,600",181.35666666666665
AMZN,2024-04-04,184.0,185.1,180.0,180.0,180.0,"41,624,300",181.01749999999998
AMZN,2024-04-05,182.38,186.27,181.97,185.07,185.07,"42,335,200",181.82799999999997
AMZN,2024-04-08,186.9,187.29,184.81,185.19,185.19,"39,221,300",182.38833333333332
AMZN,2024-04-09,187.24,187.34,184.2,185.67,185.67,"36,546,900",183.1716666666667
AMZN,2024-04-10,182.77,186.27,182.67,185.95,185.95,"35,879,200",184.04833333333332
AMZN,2024-04-11,186.74,189.77,185.51,189.05,189.05,"40,020,700",185.15499999999997
AMZN,2024-04-12,187.72,188.38,185.08,186.13,186.13,"38,554,300",186.17666666666665
AMZN,2024-04-15,187.43,188.69,183.0,183.62,183.62,"48,052,400",185.93499999999997
AMZN,2024-04-16,183.27,184.83,182.26,183.32,183.32,"32,891,300",185.62333333333333
AMZN,2024-04-17,184.31,184.57,179.82,181.28,181.28,"31,359,700",184.89166666666665
AMZN,2024-04-18,181.47,182.39,178.65,179.22,179.22,"30,723,800",183.76999999999998
AMZN,2024-04-19,178.74,179.0,173.44,174.63,174.63,"55,950,000",181.36666666666665
AMZN,2024-04-22,176.94,178.87,174.56,177.23,177.23,"37,924,900",179.88333333333333
AMZN,2024-04-23,178.08,179.93,175.98,179.54,179.54,"37,046,500",179.20333333333335
AMZN,2024-04-24,179.94,180.32,176.18,176.59,176.59,"34,185,100",178.08166666666668
AMZN,2024-04-25,169.68,173.92,166.32,173.67,173.67,"49,249,400",176.81333333333336
AMZN,2024-04-26,177.8,180.82,176.13,179.62,179.62,"43,919,800",176.88
AMZN,2024-04-29,182.75,183.53,179.39,180.96,180.96,"54,063,900",177.93499999999997
AMZN,2024-04-30,181.09,182.99,174.8,175.0,175.0,"94,639,800",177.56333333333336
AMZN,2024-05-01,181.64,185.15,176.56,179.0,179.0,"94,645,100",177.47333333333336
AMZN,2024-05-02,180.85,185.1,179.91,184.72,184.72,"54,303,500",178.82833333333335
AMZN,2024-05-03,186.99,187.87,185.42,186.21,186.21,"39,172,000",180.91833333333332
AMZN,2024-05-06,186.28,188.75,184.8,188.7,188.7,"34,725,300",182.4316666666667
AMZN,2024-05-07,188.92,189.94,187.31,188.76,188.76,"34,048,900",183.73166666666668
